12 3
1 1 -0.481302023624303
1 2 -0.347925836242597
1 3 3.40886268709667
2 1 0.22949960732580657
2 2 2.7039690501889773
2 3 -3.6398370703990315
3 1 7.963548680541137
3 2 -5.357736174446944
3 3 -2.557532807126942
1 4 0.14705844635669385
2 5 0.2717743701762612
3 6 0.14396484785862387
4 4 2.950212940200558
4 5 -1.832014121636452
4 6 0.6630798209351216
5 4 -3.9152443347913453
5 5 0.41916133332270267
5 6 3.1309988334279395
6 4 0.5112604447032838
6 5 7.460788947924083
6 6 -6.125156808563055
4 7 0.13133407090737875
5 8 0.22418288177730736
6 9 0.22725366020608262
4 2 0.1596989681307158
4 3 0.15822227352753973
5 2 0.23052576995039162
5 3 0.27592490513092943
6 2 0.11978902840902651
6 3 0.22579832898092134
7 7 -6.8871167785913725
7 8 -0.691859799028396
7 9 6.039329340813185
8 7 4.238362543786135
8 8 -0.9872695228514694
8 9 -0.8588657691246318
9 7 -0.8998859301120767
9 8 4.4023541141233755
9 9 -2.645537488617237
7 10 0.15480898995496653
8 11 0.1828960734461315
9 12 0.06721442845732194
7 5 0.08711570637854368
7 6 0.038194955093785975
8 5 0.15065110810698576
8 6 0.02727997259759671
9 5 0.2763316494600312
9 6 0.21523572915399805
10 10 -0.8088403280234486
10 11 -1.52854110456173
10 12 3.8068785684334077
11 10 5.097288406459233
11 11 -7.371242877266661
11 12 -1.4768631662264875
12 10 -0.053419304671223244
12 11 4.999890655552645
12 12 -2.503309674211647
10 8 0.09912988847634513
10 9 0.10281952986309616
11 8 0.19759433830112436
11 9 0.10440497677990102
12 8 0.23460264755510818
12 9 0.10478918788169188
